"sentiment","range","airline","timezone"
"negative","B","Delta","Pacific Time (US & Canada)"
"negative","B","US Airways","Eastern Time (US & Canada)"
"positive","D","Delta","Eastern Time (US & Canada)"
"negative","B","Southwest","Central Time (US & Canada)"
"neutral","C","Southwest","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","Southwest","Eastern Time (US & Canada)"
"positive","D","Delta","Eastern Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"negative","A","Delta","Central Time (US & Canada)"
"negative","B","Delta","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","United","London"
"positive","D","US Airways","Arizona"
"positive","D","Delta","Central Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","Southwest","Pacific Time (US & Canada)"
"positive","D","US Airways","Arizona"
"neutral","C","Southwest","Mountain Time (US & Canada)"
"neutral","C","Southwest","Pacific Time (US & Canada)"
"neutral","C","US Airways","Atlantic Time (Canada)"
"neutral","C","Delta","Central Time (US & Canada)"
"positive","D","US Airways","Eastern Time (US & Canada)"
"positive","D","United","Atlantic Time (Canada)"
"neutral","C","United","Eastern Time (US & Canada)"
"positive","D","US Airways","Indiana (East)"
"negative","B","United","Central Time (US & Canada)"
"positive","E","US Airways","Eastern Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","Delta","Eastern Time (US & Canada)"
"positive","E","US Airways","Eastern Time (US & Canada)"
"positive","D","US Airways","Central Time (US & Canada)"
"positive","D","Southwest","Eastern Time (US & Canada)"
"negative","B","Delta","Eastern Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"negative","B","US Airways","Mountain Time (US & Canada)"
"neutral","C","US Airways","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","Delta","Atlantic Time (Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","US Airways","Eastern Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"neutral","C","Delta","Sydney"
"neutral","C","Delta","Eastern Time (US & Canada)"
"positive","D","US Airways","Eastern Time (US & Canada)"
"positive","E","US Airways","Eastern Time (US & Canada)"
"neutral","C","Southwest","Eastern Time (US & Canada)"
"positive","D","United","New Delhi"
"negative","A","Southwest","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Pacific Time (US & Canada)"
"positive","E","United","Mountain Time (US & Canada)"
"neutral","C","US Airways","Eastern Time (US & Canada)"
"positive","D","Southwest","Eastern Time (US & Canada)"
"neutral","C","Delta","Eastern Time (US & Canada)"
"neutral","C","US Airways","Eastern Time (US & Canada)"
"positive","D","US Airways","Eastern Time (US & Canada)"
"neutral","C","US Airways","Atlantic Time (Canada)"
"neutral","C","Southwest","Mountain Time (US & Canada)"
"positive","D","United","Mountain Time (US & Canada)"
"neutral","C","US Airways","Central Time (US & Canada)"
"negative","B","US Airways","Eastern Time (US & Canada)"
"neutral","C","Delta","Eastern Time (US & Canada)"
"positive","D","Southwest","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Quito"
"negative","B","US Airways","Quito"
"negative","B","United","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","United","Hong Kong"
"negative","B","United","Mountain Time (US & Canada)"
"neutral","C","Delta","Eastern Time (US & Canada)"
"positive","D","Delta","Eastern Time (US & Canada)"
"negative","B","United","Central Time (US & Canada)"
"positive","D","US Airways","Atlantic Time (Canada)"
"negative","B","US Airways","Quito"
"negative","B","US Airways","Central Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","US Airways","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"positive","D","US Airways","Eastern Time (US & Canada)"
"negative","B","US Airways","Quito"
"positive","D","US Airways","Quito"
"positive","D","United","Quito"
"negative","B","US Airways","Eastern Time (US & Canada)"
"positive","D","United","Central Time (US & Canada)"
"negative","B","US Airways","Eastern Time (US & Canada)"
"neutral","C","United","Central Time (US & Canada)"
"positive","D","Southwest","Quito"
"positive","D","Virgin America","Sydney"
"positive","D","Delta","Eastern Time (US & Canada)"
"negative","B","United","Eastern Time (US & Canada)"
"negative","B","Southwest","Pacific Time (US & Canada)"
"neutral","C","US Airways","Central Time (US & Canada)"
"positive","D","Delta","Quito"
"neutral","C","Delta","Central Time (US & Canada)"
"neutral","C","Delta","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","United","Eastern Time (US & Canada)"
"neutral","C","Southwest","Abu Dhabi"
"neutral","C","Southwest","Central Time (US & Canada)"
