"senti","longi","lati"
"1",-73.99295302,40.74804263
"2",-71.02000488,42.361016
"3",-118.4062472,33.94540417
"2",-118.40410103,33.94209449
"1",-96.9321504,33.2145038
"3",-118.38591198,34.0219817
"3",-117.73024772,33.57963333
"2",-73.78311558,40.6413712
"1",-115.13780136,36.08457854
"3",-122.39327564,37.79374402
"2",-80.1416831,26.074379
"1",-118.40716847,33.9469039
"2",-114.06071363,51.04345575
"3",-73.77090177,40.64662464
"1",-118.40766257,33.94652852
"1",-77.00798226,38.9128188
"1",-96.84910929,32.84359605
"2",-96.84928399,32.8437698
"2",-80.14433663,26.06726717
"1",-96.8504585,32.8454782
"3",-94.63994975,39.24087254
"1",-122.44032176,37.77465018
"3",-118.40747994,33.94696831
"2",-74.11075451,40.63767372
"3",-73.10068286,40.78986648
"1",-71.42056878,42.5696777
"3",-122.43857414,37.80065252
"3",-115.31814055,36.08546367
"2",-99.07927123,19.43706642
"1",-104.6740909,39.8621249
"2",-2.19877833,52.59657643
"3",-95.33729612,29.98386923
"2",-95.33682231,29.98340611
"2",-95.33675519,29.98350019
"2",-95.33756559,29.98377529
"2",-95.33678993,29.98350283
"2",-95.3374653,29.98384925
"2",-95.33734532,29.98372726
"2",-90.25215941,29.98521945
"2",-90.25081767,29.98698389
"2",-90.25081691,29.98699328
"2",-90.25836915,29.98878092
"2",-90.25781369,29.9880285
"2",-90.25860012,29.987463
"2",-90.25862007,29.98746669
"1",-78.7869445,35.8057062
"2",-1.91022836,52.48854137
"2",-122.58038932,45.58711296
"1",18.00789007,59.38247253
"2",-80.01338439,32.86680572
"3",-87.90833965,41.9785651
"3",-2.27861694,53.36729431
"2",-87.90374263,41.98202331
"3",-122.427629,37.7994546
"2",-87.90782014,41.97777091
"2",-87.63403627,41.88298649
"3",-78.786848,35.8056542
"2",-118.3972405,33.9411179
"2",-87.80888924,41.98191311
"2",-104.6768992,39.85862444
"1",-77.4511456,38.9470418
"2",-87.91388554,41.97758714
"1",-77.4511745,38.9470207
"2",-74.18374208,40.68545235
"3",5.3576138,51.3228181
"2",-80.14510971,26.07324041
"2",-74.17868875,40.69943599
"2",-80.13546475,26.07694041
"2",-74.17884798,40.6992418
"2",-81.29294408,28.62111274
"2",-74.17906717,40.69814396
"2",-104.67039013,39.85790482
"2",-104.67056217,39.85799572
"2",8.72711201,51.72050559
"2",-95.5606921,29.7420124
"2",-74.17714813,40.6875448
"2",-99.18877967,19.43493094
"2",-95.5600896,29.7421541
"2",-87.91025951,41.97745295
"2",-87.89040377,41.97475934
"1",5.3576218,51.322819
"2",-87.89039148,41.97474769
"2",-87.91065356,41.97758466
"2",-95.34470061,29.98788997
"2",-122.69810485,45.52146907
"2",-87.89005988,41.97495038
"2",-95.33846478,29.98877308
"2",-87.90639116,41.97883697
"3",-111.04847652,45.67920767
"2",-87.90617197,41.97888728
"2",-84.44248239,33.64323551
"3",-74.1749219,40.69450196
"2",-106.88172648,39.24541389
"1",110.18390431,20.0615871
"2",-104.67447584,39.84911904
"2",-115.14959772,36.08161548
"3",-82.5320172,27.9746606
"2",-111.04823044,45.67922537
"2",-111.04839797,45.67922693
"2",-111.04844481,45.67925887
"2",-111.04847959,45.67912434
"2",-95.33473143,29.98378319
"3",145.2112317,-38.0271635
"3",145.2110041,-38.0269936
"2",-118.39921036,33.94077727
"2",-95.3382794,29.9866693
"2",-115.1394417,36.08655568
"1",-87.66944213,41.92992293
"1",-87.91027352,41.97890473
"3",-87.73856403,41.9763291
"1",5.3576225,51.3228191
"2",-116.22061173,43.56768225
"1",-77.44443882,38.95201335
"1",-116.22089932,43.56764134
"2",-104.6718518,39.8586527
"2",-74.17710665,40.69672337
"2",-122.300713,47.4390828
"2",-122.3010208,47.4389994
"2",-104.67233425,39.85861469
"3",145.1106176,-37.8536992
"2",-104.6718497,39.8586566
"2",-104.6718352,39.8586593
"2",-104.67372668,39.85873319
"2",-122.25460611,37.83520596
"2",-95.3378275,29.98704632
"2",-95.33783524,29.98707518
"2",-87.91469774,41.97862209
"1",-87.90563774,41.97456785
"1",-80.27338351,25.79104444
"2",-82.88085401,39.99829207
"2",-82.88058383,39.99814659
"2",-77.44400264,38.94562938
"3",-95.3384666,29.98872603
"2",-95.33845443,29.98870677
"2",-74.17545854,40.6941088
"2",-82.88439575,39.99806982
"3",113.92636768,22.31355693
"2",-122.38447633,37.61980156
"2",-118.39844033,33.94171725
"2",-80.92841859,34.99254864
"1",-122.39192247,37.61829369
"3",-157.91749165,21.32911863
"2",-77.44365722,38.95801195
"2",-77.4551004,38.93770157
"2",-122.38751,37.61839686
"2",-122.38812564,37.61926072
"2",-77.43898845,38.95638224
"2",-80.7899648,35.07067492
"2",-110.7362561,43.60417384
"2",-104.66669625,39.85760174
"1",-80.14147128,26.07294988
"2",-80.87374938,35.00096266
"2",-80.89437239,35.00595547
"1",-99.18988829,19.43010575
"2",-99.16143525,19.41622708
"2",-122.39172299,37.61782989
"2",-122.39164663,37.61761896
"2",-74.09204213,40.72476892
"2",-68.40014139,18.47066766
"2",-77.44870496,38.94291482
"3",121.59340615,31.27777976
"2",-116.5516582,33.84438223
"2",-116.55139365,33.84445776
"2",-73.95248962,40.73074756
"2",-84.33113356,33.89611413
"2",-84.33108377,33.89638659
"2",-77.3225763,25.08347991
"3",-71.0167387,42.3613256
"1",-104.99225976,39.74529398
"2",-68.39941149,18.47240961
"2",-68.39820768,18.4729405
"2",-68.39941165,18.47233225
"3",-68.39995916,18.4710809
"2",-72.96820686,43.59688282
"2",-95.40830048,29.81532281
"1",-87.8932425,41.9413787
"1",-87.9063373,41.9808176
"1",-87.9063148,41.9809313
"2",-117.35791469,33.99585652
"1",-118.39906416,33.94238375
"1",-87.6231238,41.86591706
"2",-87.62282728,41.86590405
"2",-87.62303178,41.86589387
"2",-104.90007634,39.77848558
"2",-104.84537303,39.77390684
"2",-104.69960636,39.83426941
"2",-104.69960636,39.83426941
"2",-87.6231126,41.86591215
"2",-104.67403666,39.84913886
"2",-73.99426076,40.71857786
"2",-95.3338971,29.98498519
"2",-73.99595593,40.71518191
"2",-82.12153441,38.26810946
"1",-122.40521688,37.61476852
"2",-95.33664018,29.98384194
"3",-73.78249589,40.64993239
"1",-96.67646776,49.73717309
"2",-95.33856899,29.98454639
"2",-87.87535719,41.9653255
"2",-122.40865161,37.78736562
"1",-84.44705534,33.63992689
"2",-84.44252134,33.64314381
"2",-71.24042938,42.37525611
"1",-79.61394084,43.68346133
"1",-122.59182952,45.58977875
"2",-81.48581918,28.34834331
"3",55.13798672,25.07815796
"2",-122.59182577,45.58986727
"2",-122.3883092,37.6202411
"3",55.13808289,25.0779704
"2",55.13822432,25.07772121
"3",-95.43911291,30.15481071
"2",55.13824067,25.0776918
"1",-95.33224657,29.98445184
"2",-122.38832698,37.62025528
"2",-74.30164717,40.62387603
"3",-122.43412918,37.78194753
"2",-122.38816957,37.62068265
"1",-111.9790833,40.7868699
"2",-74.25047478,40.69758992
"3",-111.974937,40.7697595
"1",-116.50768141,33.82063563
"2",-122.41114577,37.78508121
"3",-74.16612474,40.71288929
"2",-74.18465897,40.68612449
"2",-74.1760931,40.69522398
"3",-122.3867929,37.6205514
"2",-74.17458032,40.69482181
"2",-122.3867265,37.6209902
"2",-122.3867929,37.6208766
"2",-74.18351089,40.6867848
"3",-118.39787418,34.06143413
"3",-85.76378195,38.21327338
"2",-77.45193731,38.94549594
"1",-73.8746932,40.77395906
"2",-122.40313084,37.63404103
"2",-82.88004055,39.99869322
"2",-84.52114659,37.99311597
"2",-84.52114659,37.99311597
"2",-82.88068344,39.99838284
"2",-120.64078264,35.23908248
"2",-120.64046203,35.23896405
"1",-74.01453422,40.71517211
"2",-122.38607,37.61907
"2",-122.38745399,37.61821986
"1",-84.19243176,35.8924655
"3",-117.57757056,34.06979432
"3",100.60468537,13.71241507
"2",-117.57752166,34.06978184
"2",-117.59814212,34.06071437
"3",103.8637764,1.3523078
"2",-104.72749614,38.78438914
"3",151.20821275,-33.87144962
"2",-87.91247425,41.97826134
"3",-80.96071981,35.21498347
"3",-74.12493599,40.74389886
"1",-95.34407392,29.98425706
"2",-105.24950187,40.03395098
"3",-87.90939435,41.98084325
"2",-112.02901444,33.5089001
"2",-77.45367931,38.94494175
"2",-87.90496847,41.98160558
"2",-104.67802376,39.85823091
"2",-95.33246329,29.97877958
"3",-122.38822083,37.62006843
"2",-90.25189405,29.98605741
"2",-116.36206155,33.75357228
"2",-121.69565906,37.94357634
"2",-116.36197002,33.75538818
"2",-116.36197857,33.75536802
"2",-74.25960937,40.79971517
"2",-116.36196163,33.75539049
"2",-122.38946673,37.62063433
"2",-116.36196163,33.75539049
"2",-82.5414547,27.98622757
"2",-116.36209633,33.75348859
"2",-116.36209633,33.75348859
"1",-111.90404484,40.54989958
"2",-115.13942786,36.08651969
"2",-115.13941959,36.08652135
"1",-117.42860927,34.01019938
"2",-117.44528297,34.01352255
"2",-87.9099894,41.9797415
"2",-73.93737649,40.84018945
"1",-94.62041633,38.88839871
"3",-87.74130154,42.04836196
"2",-74.17219198,40.69428253
"2",-74.17208436,40.69429232
"2",-122.38389799,37.61833841
"2",-122.38385699,37.61859126
"2",-122.5959928,45.58931882
"3",-104.67232956,39.85861725
"3",-104.67232131,39.85861339
"2",-81.78472152,26.37852293
"1",-104.67371484,39.85871934
"2",-74.17069948,40.70773298
"2",-74.17084113,40.70749747
"1",-111.78241283,40.35805521
"2",-122.38822083,37.62006843
"3",-95.64621813,30.09009009
"2",-77.00423674,38.9058375
"2",-73.76914167,41.19758614
"2",-73.76920486,41.1974934
"1",-73.76926201,41.19747574
"2",-87.7430551,41.78546237
"2",-85.52894527,42.88502249
"2",-122.30180037,38.30097379
"2",-78.66572751,35.84808282
"1",-71.0170733,42.3667769
"2",-75.23663363,39.87778809
"3",-94.31618144,39.64617884
"1",-122.3913514,37.6177248
"2",-122.3877223,37.6170841
"3",-81.21118788,41.52066893
"1",-119.77382751,39.50503682
"2",-117.19636508,32.73154946
"2",-71.5504243,42.3427148
"2",-117.1556388,32.7156489
"1",-111.99678364,33.43403712
"2",-84.4358346,33.64079948
"1",-97.03548311,32.85744983
"1",-118.48131246,34.00646846
"1",-111.89191896,40.76352814
"2",-87.74243312,41.79410567
"1",-101.90914558,33.51750182
"1",-95.275749,29.65283375
"3",-81.4367726,40.91509493
"2",-117.19634507,32.73284288
"2",-81.43686526,40.91497406
"1",-83.1064707,42.58417604
"3",-83.10630667,42.58399752
"3",-75.23722854,39.87875827
"2",-97.74064527,30.27027027
"1",-111.9963312,33.4338494
"2",-96.76519155,33.00605781
"2",-71.43406677,41.72810364
"1",-92.219814,34.7300769
"3",-87.7409109,41.77838296
"2",-77.04207298,38.84884095
"1",-80.08224442,40.72845228
"2",-86.66953068,36.12665696
"2",-70.61064187,41.65451582
"2",-75.23929034,39.87638268
"2",-105.0050626,39.73217408
"2",-76.6787131,39.1848041
"3",-81.46716587,28.44752379
"2",-76.670155,39.1780768
"2",-76.6700606,39.1766101
"2",-76.6700606,39.1766101
"2",-76.6696894,39.1765188
"3",-76.6694354,39.1766716
"2",-83.3859395,42.19881665
"2",-76.6694238,39.1766628
"2",-76.669424,39.1766573
"2",-81.46990923,28.43278708
"2",-115.27959887,36.15093569
"2",-76.66929304,39.17692138
"2",-76.6704455,39.1799072
"3",-76.6707032,39.1798687
"2",-76.6709767,39.1799094
"3",-95.2787367,29.6526846
"2",-81.75533052,26.52778866
"1",-76.51625101,38.90385896
"3",-97.75945775,30.26196639
"2",-80.93644744,41.81477378
"1",-117.8607358,33.6839241
"1",-97.71394697,30.30630631
"1",-73.86982237,40.77512287
"2",-95.89873244,41.30091858
"2",-95.9002533,41.30204773
"3",-89.84738331,35.12084166
"2",-115.0846183,35.9807446
"3",-74.9171435,40.2376266
"1",-87.74028015,41.78959656
"1",-90.35501265,38.73434659
"2",-73.1724805,40.731704
"2",-72.68496357,41.93001697
"2",-72.68522399,41.93015938
"2",-118.40270098,33.93454129
"2",-87.83530047,42.313473
"2",-96.7573509,33.1973379
"3",-80.16234879,26.08232307
"1",-117.8647932,33.67698231
"2",-96.64036423,33.18882771
"2",-73.8708903,40.774588
"2",-122.4148408,37.78915629
"2",-115.1466466,36.08029523
"3",-78.9702049,35.0557688
"2",-96.8149248,32.8405223
"3",-117.2312804,32.80223908
"2",-94.71996208,39.29345234
"1",-86.6973554,36.0931536
"2",-86.6699252,36.1293776
"2",-97.74889927,30.20650347
"1",-117.5711653,34.0658388
"3",-76.61832385,39.28859449
"3",-77.02647239,41.24222981
"3",-97.74890436,30.20654541
"2",-90.25978334,29.98473682
"2",-94.71998281,39.29372784
"2",-104.67610845,39.86311565
"1",-96.78169517,33.05776114
"1",-81.30356273,28.43585235
"1",-96.80070994,32.96225554
"2",-118.40186744,33.94729153
"2",-118.40196951,33.94729537
"2",-76.67124539,39.17709903
"1",-76.204491,36.898315
"1",-95.27596615,29.65275101
"2",-87.43714049,35.8271843
"3",-82.47401175,27.9344812
"3",-93.22830677,44.8741191
"1",-76.50266928,38.97681463
"3",-112.011264,40.4871427
"1",-97.76632883,30.43823709
"2",-86.82373437,36.22640559
"2",-80.2517994,25.7661538
"2",-122.32611925,38.34274662
"3",-72.44456912,41.28597403
"2",-86.7844525,36.11159761
"2",-74.15721568,40.71035967
"1",-86.3559619,39.73167173
"1",-86.68739667,36.14488928
"2",-95.26679505,29.65350715
"2",-111.93155126,33.42067535
"3",-86.68740641,36.14487986
"2",-74.16986421,40.65954723
"2",-74.16987822,40.65958823
"2",-74.16980326,40.65951726
"2",-74.16982402,40.65947097
"2",-74.17018971,40.65957477
"1",-95.1659332,30.0554953
"1",-86.5447783,36.0212589
"2",-90.35367062,38.73693556
"1",-76.73463232,38.98057249
"1",-78.89974547,35.99558298
"2",-71.48004413,41.79493709
"2",-87.27675562,30.35571967
"3",-75.1096009,38.56979708
"3",-86.78164351,21.05483165
"3",-74.01106458,40.70326657
"1",-118.49627894,34.02763089
"3",-118.49646336,34.02761838
"1",-118.49636416,34.02764112
"2",-71.01423374,42.3658858
"3",-118.1455457,33.8191302
"3",-71.06315559,42.36005288
"3",-73.73946148,40.76262466
"2",-73.7394313,40.76262285
"1",-73.12508256,41.21681145
"2",-0.00116722,51.54381448
"2",-81.20955847,34.09548421
"3",-71.5504108,42.3427056
"1",-84.21250227,33.78310211
"1",-71.06163025,42.35829164
"1",-80.10215823,26.37067479
"1",-73.70398273,41.06865736
"3",-73.77555571,40.64579177
"2",-73.70402469,41.06869526
"3",-73.77465033,40.6467516
"2",-73.77594979,40.64646872
"2",-80.146874,26.0713458
"3",-59.60542973,13.07761455
"2",-59.6049865,13.07787514
"1",-118.0192094,33.7008468
"3",-73.7823236,40.64682076
"2",-73.78737261,40.64485766
"2",-71.01451482,42.36494288
"1",-74.29961359,40.89343356
"2",-74.42575912,40.85036847
"2",-74.48253909,40.775248
"3",-73.87477197,40.77844416
"2",-73.77939249,40.64797296
"2",-73.7762935,40.64602261
"3",-74.015404,40.61883222
"2",-74.0153922,40.61884429
"2",-74.01544319,40.61878764
"2",-74.01535789,40.61886457
"3",-73.82756667,40.79874419
"2",-73.7769539,40.6466862
"2",-88.62699707,42.40805407
"2",-73.8674526,40.7740308
"1",-74.14134323,4.69840554
"2",-117.20410937,32.73346632
"2",-73.79133606,40.64646912
"1",-121.11740707,38.6485933
"2",-73.79133606,40.64646912
"2",-73.79133606,40.64646912
"1",-121.58854512,38.69255098
"3",-77.46620117,25.05152514
"1",-87.012305,34.546788
"2",-73.79457024,40.65275545
"2",-73.78283404,40.64779984
"3",-71.01512871,42.36726898
"2",-66.00573829,18.43615031
"1",-73.43465391,40.67851205
"1",-73.53637216,41.05811177
"2",-73.77655727,40.64573089
"1",-81.29654204,28.42301907
"2",-111.49392569,40.64342444
"2",-111.49337274,40.64339686
"3",-73.856635,40.88529232
"2",-73.85658056,40.88539964
"1",-73.96415608,40.7171667
"3",-73.96426215,40.71716644
"3",-73.64314219,43.3230125
"3",-118.1628,33.8117407
"1",-80.14770942,26.07159064
"2",-73.77617682,40.64530946
"2",-73.77609616,40.64534568
"2",-73.77617765,40.64531687
"2",-73.7761025,40.64529157
