"Response","tweets"
"positive","upgraded my phone contract and got me an iphone yehaa    winning  blogger  iphone"
"neutral","get  comic  girl  stickers for  imessage  ios10  iphone  blogger  girlhero  girlsbelonghere  girlstakeover https   t co lrdw2qwp7h"
"positive","skin care pore vacuum machine iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co bjiliplifz"
"neutral","make the most of your apple watch  https   t co u4aqxlqcwl   applewatchseries4  applewatch4  applewatch5  https   t co 2eaqcdsykn"
"positive","so much fun today on a marathon 4 hours sup adventure on the algarve near lagos  redpaddleco first time out  loved  https   t co oc4wnk8g53"
"negative","   oh firebase  it s getting into my nerves now       appdev  appdevelopment  androiddev  ios12  iphone  https   t co swrucbsypi"
"positive","nowplaying   erik jackson   the midnight sun ft  joey crown  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"neutral","the 2019 iphone xi might look like this based on leaked images  iphone  iphonexi  https   t co irjhcvpegx"
"positive","best currency converter for  iphone   jpy  free  huf  sek  pln  fx  cad  aud  bgn  no  gbp  ios  czk  ltl  https   t co uiwi7e9dd1"
"positive","thanks  cem for the follow  check out our  unlockcode  icloud for  apple  iphone  samsung  lg  unlock  swiftunlock https   t co bemadlhtwd"
"neutral","rt  gextonphoto  the old bridge  luang prabang  laos     laos  luangprabang  travel  photography  iphone  perspective  oldbridge  bridge  t "
"positive","save trees  business  entrepreneur  api  js  css  success  ui  ux  webdesign  webdevepment  mobileapp  apple  https   t co ssq4qcwuj2"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co q8svzrdztv"
"positive","iphone 6 16gb  status  new  interested  dm for price   phone  iphone  gadgets  iphone6"
"negative","don t stop when it hurts  stop when you re done     fit5p    workoutmotivation  mondaymotivation  mondaymorning  https   t co ibh2lxvjgi"
"positive","rt  leehillerdesign                 hamsa on gold  tshirts  jewelry  iphone case  bags  onesie water  bottle  https   t co zqwvr9rtrc https "
"positive","microfiber screen lens square cleaning cloth  get it here     gt  https   t co cxmwjlzyp2    cellphone  iphone  mobile  https   t co bzbrztfmnh"
"neutral","rt  planexitoso   things that did not exist 15 years ago  today    uber   airbnb   snapchat   bitcoin   spotify   siri   google   chrome    "
"positive","what gliding swiping keyboard do you recommend for ios  i am missing this feature   seekingadvice  recommendations  help  iphone  ios  swype"
"positive","the next generation  you guys know what is this    iphone  apple https   t co btzcrpyvow"
"positive","rt  kinshirosama  hi folks     helpusout  followus  likeus  retweetus any help is appreciated and can help us grow   gothamiphone our price "
"neutral"," deals  14 99 usd   tracfone alcatel a405 flip prepaid cell phone https   t co ln5bed4guc  ebay  amazon  discount  https   t co 3r45fzbvz7"
"positive","original huawei honor 8x 20mp 4gb ram 64gb storage for only 240      https   t co 9cmj6msujc   shopping  https   t co odvjyxqgwv"
"positive","hey guys  kindle e reader https   t co hk4n7mbdkg  shopping  price  car  money  coupon  tv  video  aws  prime  https   t co 6jal8r6rmh"
"neutral","for most of us  starting off in the morning  your iphone wakes you up  you immediately start checking emails or tex  https   t co hzdkjdgvw8"
"positive","rt  techinrl  how to reset your airpods  https   t co adzofj0xth  airpods  airpods2  airpods2  airpods2  airpods  iphone  apple  technology"
"neutral","the schematic shows the lenses arranged in the same triangle shape alongside cutouts for the flash and the micropho  https   t co 7jrnbsnwnb"
"positive","check out apple iphone 7 plus   256gb   rose gold  at amp t   https   t co hp3rzhem67   bestebayprices    bid  gadgets  iphone  likenew"
"neutral","rt  ecenazssdestan  iphone telefonum     iphone not defterim   iphone  iphone7plus  iphonetelefon  iphonered https   t co hpdtpvaovq"
"neutral","41  off   sport2people running pouch belt  usa patented  runner waist pack  iphone x 6 7     https   t co qhfvt0lv7v https   t co xt3y37uu3i"
"positive"," 15 bucks a month   mint mobile phone plans   unlimited 4g lte talk  text  and data plans as low as  15 month   https   t co tm4wrcrjmt"
"positive","the best camera is the one you have with you  here s how to make the most of your  iphone camera on your next hike   https   t co xe5oxbinkq"
"neutral","bypass safari and chrome  read us on your applenews app  already on your  ios  homescreen   connectedhome  https   t co j40o2cybu0"
"negative","rt  ridheeshbhan  check my video about one plus 7 leaks here https   t co n7thvqvc1j  oneplus  iphone  photography  samsung  india  shotono "
"positive","a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  https   t co jczyjt2mr0"
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co vasgcdh0ok"
"negative","xbox from  7 a week get the products you want today for a small weekly fee  tv s  settees  iphone  xbox  https   t co zsds7qohe5"
"positive","our  giveaway is here   to celebrate the launch of our online store  we are giving away  apple  iphone xs 64gb of v  https   t co quxb4uokfv"
"neutral","it s april 07  2019 at 05 00am   apple  iphone  unlocking prices has  dropped time  now to get it  unlocked swiftun  https   t co kjmgizjvaa"
"negative","me writes  i m a fucking genius  iphone autocorrect  you little nasty     gt   i m a ducking genius    meme  memes  https   t co 7rmawhzx8p"
"positive","went to mass at a local catholic college this evening  quick mass  but i saw two people on their  iphone texting du  https   t co hmxhhr9moa"
"positive"," manga  onepiece  anime  iphone onepiece wallpapers  fine pics for your iphone  https   t co ny7tcl76yx https   t co u5gw4b2vnh"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 6o3dq59klf"
"positive","rt  mr loudpakk2  damn samsung sharing battery power now    iphone better come on wit it"
"neutral","rt  lorosullivan  a walk in the woods  nature  trees  iphone https   t co xffctnjgqx"
