"sentiment","range","airline","timezone"
"positive","D","Virgin America","Atlantic Time (Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","America/New_York"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","London"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Alaska"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"positive","D","Virgin America","America/New_York"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Kuala Lumpur"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Brisbane"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Alaska"
"neutral","C","Virgin America","Arizona"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Arizona"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Arizona"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Mountain Time (US & Canada)"
