"sentiment","range","airline","timezone"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"negative","A","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","America/New_York"
"positive","D","Virgin America","America/New_York"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Quito"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Mountain Time (US & Canada)"
"negative","B","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Vienna"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Caracas"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Atlantic Time (Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Kuala Lumpur"
"positive","D","Virgin America","Brisbane"
"neutral","C","Virgin America","Arizona"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","London"
"positive","D","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Mountain Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Arizona"
"neutral","C","Virgin America","Arizona"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Arizona"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Quito"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Central Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Alaska"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
"neutral","C","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Alaska"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","E","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Atlantic Time (Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"negative","B","Virgin America","Pacific Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"negative","B","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Sydney"
"neutral","C","Virgin America","Irkutsk"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Sydney"
"neutral","C","Virgin America","Sydney"
"neutral","C","Virgin America","Sydney"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Eastern Time (US & Canada)"
"positive","D","Virgin America","Pacific Time (US & Canada)"
"positive","D","Virgin America","Eastern Time (US & Canada)"
"neutral","C","Virgin America","Mountain Time (US & Canada)"
