tweet,sentiment,latitude,longitude,airline,timezone
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral,33.94540417,-118.4062472,Virgin America,Atlantic Time (Canada)
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative,33.94209449,-118.40410103,Virgin America,Quito
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,positive,33.2145038,-96.9321504,Virgin America,Central Time (US & Canada)
@VirginAmerica everything was fine until you lost my bag,negative,40.6413712,-73.78311558,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive,36.08457854,-115.13780136,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a \\""tech stop\\""?",negative,26.074379,-80.1416831,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,33.9469039,-118.40716847,Virgin America,Pacific Time (US & Canada)
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative,51.04345575,-114.06071363,Virgin America,Tehran
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral,40.64662464,-73.77090177,Virgin America,Pacific Time (US & Canada)
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,positive,33.94652852,-118.40766257,Virgin America,Pacific Time (US & Canada)
@VirginAmerica you will match my #AmericanAirlines status? Cool!,positive,38.9128188,-77.00798226,Virgin America,Eastern Time (US & Canada)
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,positive,32.84359605,-96.84910929,Virgin America,Central Time (US & Canada)
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,negative,32.8437698,-96.84928399,Virgin America,Central Time (US & Canada)
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",negative,26.06726717,-80.14433663,Virgin America,Eastern Time (US & Canada)
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,positive,32.8454782,-96.8504585,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,neutral,39.24087254,-94.63994975,Virgin America,Central Time (US & Canada)
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,positive,37.77465018,-122.44032176,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you got cheese pLate Flights too.,neutral,40.78986648,-73.10068286,Virgin America,Central Time (US & Canada)
@VirginAmerica Dad on Segway is the best part of this whole infographic!,positive,42.5696777,-71.42056878,Virgin America,Atlantic Time (Canada)
@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,neutral,37.80065252,-122.43857414,Virgin America,Pacific Time (US & Canada)
@united you think you boarded flight AU1066 too early? I think so.,negative,19.43706642,-99.07927123,United,Eastern Time (US & Canada)
@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,positive,39.8621249,-104.6740909,United,Pacific Time (US & Canada)
@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,negative,52.59657643,-2.19877833,United,London
"@united I guess that's too much ask, huh?",neutral,29.98386923,-95.33729612,United,Pacific Time (US & Canada)
@united but it's hard to stay upset at someone when they at least TRY to show remorse.,negative,29.98340611,-95.33682231,United,Pacific Time (US & Canada)
"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",negative,29.98350019,-95.33675519,United,Pacific Time (US & Canada)
@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,negative,29.98377529,-95.33756559,United,Pacific Time (US & Canada)
"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine.",negative,29.98350283,-95.33678993,United,Pacific Time (US & Canada)
@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,negative,29.98384925,-95.3374653,United,Pacific Time (US & Canada)
@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,negative,29.98372726,-95.33734532,United,Pacific Time (US & Canada)
@united I'm so frustrated and nervous because of this.,negative,29.98521945,-90.25215941,United,Pacific Time (US & Canada)
@united are the ones who make it difficult for me.,negative,29.98698389,-90.25081767,United,Pacific Time (US & Canada)
@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,negative,29.98699328,-90.25081691,United,Pacific Time (US & Canada)
"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",negative,29.98878092,-90.25836915,United,Pacific Time (US & Canada)
@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?,negative,29.9880285,-90.25781369,United,Pacific Time (US & Canada)
@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.,negative,29.987463,-90.25860012,United,Pacific Time (US & Canada)
@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The,negative,29.98746669,-90.25862007,United,Pacific Time (US & Canada)
@united thnx for the info,positive,35.8057062,-78.7869445,United,Amsterdam
"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",negative,52.48854137,-1.91022836,United,London
@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,negative,45.58711296,-122.58038932,United,Pacific Time (US & Canada)
@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,positive,59.38247253,18.00789007,United,Stockholm
@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines,negative,32.86680572,-80.01338439,United,Eastern Time (US & Canada)
@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight,neutral,41.9785651,-87.90833965,United,Pacific Time (US & Canada)
@united what time does check in open for flight no UA80 from Manchester to Newark today ?,neutral,53.36729431,-2.27861694,United,London
"@united good to know you will open the closed doors for \\""premier passengers\\"" after safety briefings on delayed flights. #annoyed.",negative,41.98202331,-87.90374263,United,Central Time (US & Canada)
@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,neutral,37.7994546,-122.427629,United,Pacific Time (US & Canada)
@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United,negative,41.97777091,-87.90782014,United,Pacific Time (US & Canada)
"@united question:are there onboad 110 volt outlets in all planes? If so, where?",neutral,35.8056542,-78.786848,United,Amsterdam
"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",negative,33.9411179,-118.3972405,United,Pacific Time (US & Canada)
@united I'm very frustrated and have wasted 2 days now due to your equipment failures.,negative,39.85862444,-104.6768992,United,Atlantic Time (Canada)
@united I appreciate your efforts getting me home!,positive,38.9470418,-77.4511456,United,Eastern Time (US & Canada)
"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",positive,38.9470207,-77.4511745,United,Eastern Time (US & Canada)
